Year,Month,local_id,주거용,업무용,산업용
2022,01,35,229834,666930,1112546
2022,01,36,231489,696449,2160337
2022,01,37,334354,1081615,2749036
2022,01,38,427159,1058922,1944117
2022,01,39,86998,282986,183369
2022,02,11,1249190,2933022,145161
2022,02,21,436000,803817,576829
2022,02,22,306579,605954,476091
2022,02,23,404692,832007,944808
2022,02,24,192382,358340,237813
2022,02,25,185326,490928,196264
2022,02,26,143347,340012,2191299
2022,02,29,55578,119856,144882
2022,02,31,1829616,4432269,5952653
2022,02,32,215765,892132,512682
2022,02,33,217161,740408,1534254
2022,02,34,287818,1043826,3101634
2022,02,35,232182,651986,1020732
2022,02,36,232173,671140,1983719
2022,02,37,333806,1052660,2462368
2022,02,38,423178,1012818,1773431
2022,02,39,87711,278040,195108
2022,03,11,1108591,2573923,130487
2022,03,21,384909,741704,617985
2022,03,22,269846,533183,483313
2022,03,23,359210,765953,1013754
2022,03,24,170870,320672,243857
2022,03,25,163341,446335,200752
2022,03,26,125864,321081,2416910
2022,03,29,49147,108823,155466
2022,03,31,1623139,3915606,6094534
2022,03,32,186426,745414,551798
2022,03,33,187361,642338,1647608
2022,03,34,250327,630901,3295169
2022,03,35,201151,564893,1087090
2022,03,36,201530,604589,2199200
2022,03,37,292197,935746,2675302
2022,03,38,375995,898029,1822393
2022,03,39,76996,245988,179084
2022,04,11,1096677,2368957,121342
2022,04,21,395933,694334,604113
2022,04,22,276233,499782,471986
2022,04,23,360832,671568,988933
2022,04,24,175471,300715,236705
2022,04,25,169188,415578,194734
2022,04,26,130896,302429,2276729
2022,04,29,51148,99702,152403
2022,04,31,1638252,3531841,5890683
2022,04,32,188334,652914,568839
2022,04,33,192642,568556,1606517
2022,04,34,256404,720419,3111406
2022,04,35,207866,515649,1032627
2022,04,36,206541,572105,2072763
2022,04,37,297770,878856,2551081
2022,04,38,377952,851381,1715386
2022,04,39,75327,243817,175936
2022,05,11,1042289,2330403,111589
2022,05,21,365442,671896,594495
2022,05,22,254325,485495,452564
2022,05,23,332217,634458,973360
2022,05,24,160248,278806,233364
2022,05,25,152645,396014,193748
2022,05,26,118477,298948,2329360
2022,05,29,45795,93576,151617
2022,05,31,1502518,3315339,5814815
2022,05,32,167868,569280,587853
2022,05,33,172050,483716,1620874
2022,05,34,230409,639612,3089143
2022,05,35,187318,445124,1037715
2022,05,36,187263,524621,2068173
2022,05,37,271067,798758,2581108
2022,05,38,349240,792825,1614974
2022,05,39,67546,232275,152356
2022,06,11,1084938,2603546,119384
2022,06,21,374568,743916,604517
2022,06,22,271074,548040,468647
2022,06,23,346122,690766,933361
2022,06,24,166889,311626,239049
2022,06,25,157946,436613,198524
2022,06,26,122153,319147,2169075
2022,06,29,46961,99191,155215
2022,06,31,1562740,3547743,5748616
2022,06,32,170498,568083,561801
2022,06,33,176904,491601,1647243
2022,06,34,237724,644700,3123150
2022,06,35,190849,465969,1065132
2022,06,36,190956,547418,2009502
2022,06,37,281274,806426,2484777
2022,06,38,359061,841544,1621758
2022,06,39,69758,249960,138580
2022,07,11,1401278,3094563,136249
2022,07,21,462714,858680,623586
2022,07,22,352692,645668,497051
2022,07,23,442033,810080,1020802
2022,07,24,210801,371045,256952
2022,07,25,200021,512362,218035
2022,07,26,149526,358776,2393895
2022,07,29,55278,112612,165726
2022,07,31,1974596,4071731,6505491
2022,07,32,200698,613072,577882
2022,07,33,222445,548535,1787573
2022,07,34,293100,684258,3315366
2022,07,35,231331,535829,1117737
2022,07,36,234964,629083,2122834
2022,07,37,353676,895593,2640542
2022,07,38,452182,947066,1695533
2022,07,39,97702,300188,133667
2022,08,11,1660450,3272563,140582
2022,08,21,565657,925959,597182
2022,08,22,403228,661041,468468
2022,08,23,530130,861267,970166
2022,08,24,250701,391060,250253
2022,08,25,238299,525858,208832
2022,08,26,181410,378273,2342449
2022,08,29,72012,117073,161995
2022,08,31,2345949,4316065,6264636
2022,08,32,234460,650473,574191
2022,08,33,263511,569315,1743770
2022,08,34,353235,747557,3256771
2022,08,35,276791,565002,1087609
2022,08,36,281917,674984,2135739
2022,08,37,398866,922735,2564086
2022,08,38,541131,1012147,1609490
2022,08,39,122779,329717,144208
2022,09,11,1321934,2843930,127321
2022,09,21,477572,817251,560512
2022,09,22,329788,573367,455288
2022,09,23,429158,761505,929772
2022,09,24,216161,355096,235630
2022,09,25,202773,462900,192578
2022,09,26,158966,360865,2220211
2022,09,29,66933,106465,156035
2022,09,31,1909497,3807222,5918737
2022,09,32,200722,584107,564596
2022,09,33,220629,520498,1649908
2022,09,34,298896,704039,3056592
2022,09,35,239152,514988,1035827
2022,09,36,239998,611140,2036556
2022,09,37,330008,830650,2236527
2022,09,38,441996,912380,1567319
2022,09,39,100256,288988,133531
2022,10,11,1085740,2412087,110496
2022,10,21,381108,706122,577513
2022,10,22,261969,495332,453686
2022,10,23,354052,666978,889904
2022,10,24,170660,299008,221910
2022,10,25,159921,405314,190347
2022,10,26,123131,331858,2138119
2022,10,29,49478,97343,151812
2022,10,31,1584554,3383310,5818448
2022,10,32,173635,553578,581068
2022,10,33,180281,484680,1649562
2022,10,34,243623,653550,3009821
2022,10,35,193988,454092,1053494
2022,10,36,193595,547301,2295071
2022,10,37,276801,781639,2298410
2022,10,38,359444,806229,1587832
2022,10,39,72006,248740,124258
2022,11,11,1079581,2345238,112280
2022,11,21,379512,671182,585921
2022,11,22,267929,489285,478081
2022,11,23,356392,675191,961317
2022,11,24,167877,287701,234945
2022,11,25,160764,399852,189289
2022,11,26,124106,302881,2086072
2022,11,29,48966,98500,159744
2022,11,31,1605675,3467215,5992445
2022,11,32,183291,645913,579843
2022,11,33,186573,541766,1661027
2022,11,34,247360,678535,3126659
2022,11,35,197011,473245,1065750
2022,11,36,195675,571308,1565376
2022,11,37,287344,852912,2399250
2022,11,38,364330,819144,1679567
2022,11,39,70147,241152,129944
2022,12,11,1151263,2829389,126197
2022,12,21,397004,776856,597920
2022,12,22,281969,576695,495075
2022,12,23,382592,841787,991067
2022,12,24,175613,334483,234270
2022,12,25,168019,471061,199477
2022,12,26,128368,342822,2283786
2022,12,29,49984,119289,162170
2022,12,31,1706376,4242090,6252630
2022,12,32,195303,800470,573335
2022,12,33,199064,670446,1715005
2022,12,34,264820,842186,3213461
2022,12,35,210103,577013,1093903
2022,12,36,210855,649969,2108754
2022,12,37,306159,986932,2370683
2022,12,38,391633,941248,1802069
2022,12,39,78040,262398,145783
2023,01,11,1269195,3238600,147119
2023,01,21,440181,875305,599132
2023,01,22,311354,663390,508479
2023,01,23,422788,944018,1020254
2023,01,24,193042,392102,242704
2023,01,25,188096,543992,202605
2023,01,26,142319,371359,2240602
2023,01,29,56982,135560,160540
2023,01,31,1895769,4922636,6541490
2023,01,32,222396,961197,562812
2023,01,33,224705,810853,1712316
2023,01,34,298268,1007257,3361036
2023,01,35,233996,704434,1089461
2023,01,36,234219,735426,2194735
